ID,Tweet URL,Published At,Username,Content,Likes,Retweet Count,Reply Count,Quote Count,Views Count,Bookmarks Count,Media Type,Media URL,Is Retweeted,Is Quoted
171913,https://twitter.com/MSF_france/status/1740749876424773988,2023-12-29 15:01:26+00,MSF_france,"#MSF poursuit ses activités dans plusieurs régions du Soudan, notamment à Khartoum, Omdurman, dans le Nil blanc et le Nil bleu, à Al Gedaref et au Darfour.",4,2,0,0,848,0,,,f,f
171914,https://twitter.com/MSF_france/status/1740749874495430897,2023-12-29 15:01:26+00,MSF_france,"Suite à l'escalade de la violence et à la prise de contrôle par les Forces de Soutien Rapide, 300 000 personnes ont fui la ville selon l'ONU. Beaucoup de ceux qui ont trouvé refuge à Wad Madani sont forcés de fuir une 2e fois dans un contexte où les violences persistent.",5,2,1,0,824,0,,,f,f
171915,https://twitter.com/MSF_france/status/1740417820889161819,2023-12-28 17:01:58+00,MSF_france,"« 18 patients sont actuellement hospitalisés, et la capacité d’hospitalisation est en train d’augmenter. 598 consultations ont également été assurées depuis le 17 décembre », précise Jacob Burns, coordinateur de projet MSF.",9,1,0,0,813,0,,,f,f
171916,https://twitter.com/MSF_france/status/1740417819031060654,2023-12-28 17:01:58+00,MSF_france,"Des soins postopératoires sont prodigués aux patients grièvement blessés, dont beaucoup ont été référés par d'autres établissements tels que l'hôpital Nasser et l'hôpital européen de Gaza.",9,4,1,0,960,0,,,f,f
171917,https://twitter.com/MSF_france/status/1739660967095452125,2023-12-26 14:54:30+00,MSF_france,"Ceci est le dessin fait par un patient de 13 ans à #Gaza : « C'est une réalité tout simplement inimaginable pour un enfant de cet âge » confie Audrey Mc Mahon, psychiatre #MSF. https://t.co/aenEl0PnOi",573,552,101,11,33626,20,video,https://video.twimg.com/ext_tw_video/1739640937058299904/pu/vid/avc1/320x568/GZG6W-bxlXBhBllc.mp4?tag=12,f,f
171918,https://twitter.com/MSF_france/status/1739644176570933583,2023-12-26 13:47:47+00,MSF_france,"#Gaza : le 9/12, une équipe #MSF a rouvert la clinique Al-Shaboura à Rafah  fermée depuis le début de la guerre. Dans cette localité les conditions de vie sont devenues épouvantables et l'état de santé  général de la population ne cesse de se dégrader. https://t.co/m7nEIatqpm",177,140,1,1,4388,2,,,f,f
171919,https://twitter.com/MSF_france/status/1739340672279159138,2023-12-25 17:41:46+00,MSF_france,"Une fois de plus, personne n'est en sécurité nulle part à #Gaza. Il faut un cessez-le feu durable et immédiat maintenant pour que des vies soient sauvées et permettre qu'une aide humanitaire massive à la hauteur des besoins soit acheminée sans entrave.",88,60,0,2,4103,0,,,f,f
171920,https://twitter.com/MSF_france/status/1738501300147663137,2023-12-23 10:06:24+00,MSF_france,"La population palestinienne vit tous les jours sous le feu des bombes. Dans ces conditions, l’accès aux soins de santé et à l’aide humanitaire est impossible. #CeasefireNow #CessezLeFeuMAINTENANT",27,17,0,0,1575,1,,,f,f
171921,https://twitter.com/MSF_france/status/1737804418148360499,2023-12-21 11:57:14+00,MSF_france,"[#Rétrospective] En 2023, les événements se sont succédé avec une intensité inédite. Pour autant, à chaque nouvelle  crise, #MSF a su se mobiliser pour  aider celles et ceux qui en avaient urgemment besoin. https://t.co/XnPKiXA6mj",24,16,0,1,1482,1,,,f,f
171922,https://twitter.com/MSF_france/status/1737529724799197441,2023-12-20 17:45:42+00,MSF_france,"En s’engageant à réformer l’#AME dès le début de l’année prochaine, @Elisabeth_Borne a soumis ce dispositif indispensable à un marchandage politique honteux.",31,14,1,0,1255,0,,,f,f
171923,https://twitter.com/MSF_france/status/1737529721942937929,2023-12-20 17:45:42+00,MSF_france,"Présentée comme une mesure humaniste, l’interdiction de placer des #mineurs en rétention administrative n’est qu’une mise aux normes imposée à la France par les multiples condamnations de la @ECHR_CEDH et le rappel à l’ordre du Comité des droits de l’enfant de l’#ONU. https://t.co/4XwbtMbrrP",28,22,5,1,1648,0,photo,https://pbs.twimg.com/media/GBzrN-oWkAAfu8l.png,f,f
171924,https://twitter.com/MSF_france/status/1737529719589933217,2023-12-20 17:45:41+00,MSF_france,🧶La #LoiImmigration va avoir des lourdes conséquences sur la santé des personnes étrangères. 👇 https://t.co/ddX19u5Wq0,444,287,10,5,26307,7,photo,https://pbs.twimg.com/media/GBzrH4LWoAEjTe9.jpg,f,f
171925,https://twitter.com/MSF_france/status/1737479019568717981,2023-12-20 14:24:13+00,MSF_france,"La mort de 61 pers. dans un naufrage au large des côtes libyennes dans la nuit du 14 au 15 décembre, montre une fois de plus les conséquences meurtrières des politiques de non-assistance de l'Europe et de l'externalisation de la gestion des frontières. https://t.co/abOcyRglJU",53,33,22,1,2566,2,,,f,f
171926,https://twitter.com/MSF_france/status/1737169230334775643,2023-12-19 17:53:14+00,MSF_france,"L’hôpital accueille encore des dizaines de patients, dont 14 enfants. Il manque désormais de produits essentiels, d’anesthésiants et d’oxygène.",16,6,0,1,1406,0,,,f,f
171927,https://twitter.com/MSF_france/status/1737169227910430796,2023-12-19 17:53:13+00,MSF_france,"Les hommes de plus de 16 ans ont été sortis de l'hôpital, déshabillés, ligotés et interrogés. Parmi eux, six membres du personnel de #MSF. La plupart d’entre eux ont ensuite été renvoyés à l’hôpital et on leur a dit de ne pas en sortir.",49,23,1,0,4601,0,,,f,f
171928,https://twitter.com/MSF_france/status/1736763773724074274,2023-12-18 15:02:05+00,MSF_france,"Aujourd'hui s’ouvre à Bruxelles une phase décisive dans les négociations autour du #EUMigrationPact. Dans une lettre ouverte, #MSF exhorte les gouvernement à changer de cap et à donner la priorité à des politiques plus humaines. https://t.co/mZOd82dOiq",35,28,3,2,2150,0,,,f,f
171929,https://twitter.com/MSF_france/status/1736052412647985240,2023-12-16 15:55:24+00,MSF_france,"« Nous saluons la décision d’inclure le noma dans la liste des maladies tropicales négligées de l’OMS, en espérant que cela contribue à mobiliser l’attention et les ressources nécessaires », déclare Mark Sherlock, responsable des programmes médicaux de MSF. https://t.co/acyCwBcVJO",9,4,0,0,994,0,photo,https://pbs.twimg.com/media/GBexQ7dWYAAERar.jpg,f,f
171930,https://twitter.com/MSF_france/status/1736052410416599175,2023-12-16 15:55:23+00,MSF_france,Le noma ronge la peau et les os du visage et touche en particulier les enfants malnutris et affaiblis. Bcp de travail reste encore à faire pour intégrer la lutte contre le #noma dans les programmes de santé publique et améliorer la détection précoce et le traitement rapide.,7,3,1,0,1026,0,,,f,f
171931,https://twitter.com/MSF_france/status/1735697154566484126,2023-12-15 16:23:43+00,MSF_france,"Afin d'analyser les causes de cette attaque et de réévaluer les  risques sécuritaires qui pèsent sur l'organisation et son activité, #MSF  est contrainte de suspendre ses activités au Centre d’Urgence de Turgeau qui restera fermé pour une durée indéterminée. 2/2",10,3,0,0,1022,0,,,f,f
