date,url,media_url,media_type,likes,comments,caption
2023-12-28 15:01:02,https://www.instagram.com/p/C1ZqabprQHI/,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/408222060_219613904527377_2422608679998004139_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=109&_nc_ohc=HvfkPeIjSZUQ7kNvgFVdPvt&edm=APU89FABAAAA&ccb=7-5&oh=00_AYAhrhHVI2el56bmfBNG_424GcVfz1jy_6nDVqk6Npgnlg&oe=6662AD3A&_nc_sid=bc0c2c,Image,35,0,"Throughout the year, countless families and communities facing adversity bravely navigate hardship challenges. However, when winter arrives, their struggle becomes even more formidable. The harsh weather exposes their inadequate shelter and clothing. Food and water become scarce, and the unforgiving cold brings the ever-present threat of disease.

In these final days of the year, you have the power to make a life-saving difference.

Give today: https://medglobal.org/donate/"
2023-12-27 15:01:07,https://www.instagram.com/p/C1XFoPOLLjt/,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/413447442_704735721749881_8501632293748462347_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=J4UVPlIri3QQ7kNvgGKWUKZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDDZ6HKU8yjP0GK6Il1hMLI9Ek_pen_YgVUTP3u63evDQ&oe=66628449&_nc_sid=bc0c2c,Image,41,0,"Dr. Zaher Sahloul, MedGlobal President: “I have been to Gaza 4 times; the situation was catastrophic before this war. Now it is beyond description. As a doctor and human being, I appeal to your humanity. Innocent people are dying every hour, and it is getting worse. Your donation will save lives.”

We are dedicated to improving healthcare access and providing essential medical support to those affected by the conflict in Gaza. Join us as 2023 ends, and make a difference: https://donorbox.org/medglobal-gaza-emergency"
2023-12-26 15:01:05,https://www.instagram.com/p/C1Ug1Hiu1hK/,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/412643875_376132348151244_1837406166583921512_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=100&_nc_ohc=uHlsiQvIeK8Q7kNvgFrO1Fo&edm=APU89FABAAAA&ccb=7-5&oh=00_AYBR8QAdbjydCjTeOOFuxkVSqEMwClMvHSDUXjNSh1pboA&oe=66629C37&_nc_sid=bc0c2c,Image,21,0,"As we approach the end of 2023, the Syrian crisis stands as a stark reminder of the enduring human suffering caused by prolonged conflict. MedGlobal has been working tirelessly to provide access to healthcare to Syrians; join our mission and make your year-end impact today. 

 Make a Life-Saving Year-End Difference: https://medglobal.org/donate/"
2023-12-25 13:01:22,https://www.instagram.com/p/C1RuVXCu9ij/,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-15/413302162_1539075986931614_5879051332992511396_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=XL5cRLoz5c4Q7kNvgEgJflK&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDpBppaPw5lNXlHEmk_2PV_-2bBRPMIYW8TR8NuY7gZig&oe=6662A41E&_nc_sid=bc0c2c,Image,15,0,"🎄Wishing everyone a season filled with warmth and cheer! May your holidays sparkle with moments of love, laughter, and goodwill. As we reflect on the past year and look forward to the new one, we want to express our heartfelt thanks to our incredible supporters. Your generosity and commitment have been the driving force behind our mission. Merry Christmas and Happy New Year to all! 🌟"
2023-12-25 02:00:26,https://www.instagram.com/p/C1QisXToSiZ/,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/413279562_912025783652149_3508239718605214131_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=k3YnaboZT_wQ7kNvgGHhFF1&edm=APU89FABAAAA&ccb=7-5&oh=00_AYBX7XCmKmaGFvC5fdJEeu9WtoJ3gxQ5-r245mARlH1_tw&oe=6662B32F&_nc_sid=bc0c2c,Image,37,0,"As 2023 ends, Gaza's urgent need for support is profound. Since 2018, MedGlobal's teams have been aiding local hospitals, addressing critical medical needs. We're committed to improving healthcare access in conflict-affected Gaza. Join us in making a difference .

Give today: https://donorbox.org/medglobal-gaza-emergency

#MedGlobal #GazaSupport #HealthcareHeroes"
2023-12-24 21:00:56,https://www.instagram.com/p/C1QAYtctsFF/,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-15/412752328_1098564808242190_3809571150349008857_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=DoJC3xWTekcQ7kNvgE76nVf&edm=APU89FABAAAA&ccb=7-5&oh=00_AYA2hSZIGO4aY-MwFrv9tr6IbqmElTO94wTPqtB-QnTiZg&oe=66628A18&_nc_sid=bc0c2c,Image,45,0,"In the heart of conflict in Syria, 13-year-old Walid from Idlib found relief at MedGlobal's mobile clinic. Overcoming the trials of displacement, he battled cellulitis caused by harsh camp conditions.

MedGlobal's swift care and free treatment helped heal Walid, allowing him to play once again. Our mobile clinics stand as pillars of hope, offering medical, mental health, and nutrition support to those displaced, like Walid and his family.

#MedGlobal #ChildResilience #HealingJourney #HealthForAll

---"
2023-12-23 22:00:37,https://www.instagram.com/p/C1NidLKuwdE/,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/412596626_732370832109215_7482535250763768759_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=n71dXuZ5wowQ7kNvgHEyyl2&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDhJsnGXuSjlb9MpmAP0pBstMkFxmazo6_AeCsBKO3_iw&oe=6662A3EF&_nc_sid=bc0c2c,Image,16,0,"As Syria faces the world's largest displacement crisis, with 13.5M displaced, its healthcare infrastructure crumbles. With MedGlobal's aid, we strive to bring hope and essential healthcare care to those in need. 

Join us in our mission and give today: https://medglobal.org/donate/

 #Healthcare #Displacement #GiveBack"
2023-12-23 14:02:47,https://www.instagram.com/p/C1MrpDNO4fX/,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/412302926_910858186715368_3452978272490406935_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=104&_nc_ohc=1pEkT_tADY0Q7kNvgFFcR0a&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDVmhlJwgHVyv-fbrVEKBn0QRHmOmvJIih_qD4VOZLgDA&oe=66629779&_nc_sid=bc0c2c,Image,16,0,"🧠✨ Nurturing the Mind: Training in Self-Care for Medical Professionals ✨🧠

At MedGlobal, we prioritize mental health as an integral part of our work. This November, we were proud to offer an online training session focused on self-care for healthcare workers in Ukraine. Facilitated by our incredible volunteers, the training consisted of insightful lectures, hands-on practical exercises, and discussions of real-life cases, all designed to strengthen mental resilience.

As a component of the ""Building Mental Health Capacity Online Training"" program, our participants explored in-depth self-care techniques, learned to identify signs of burnout, and developed strategies for effective stress management.

#MedGlobal #MentalHealthFirst #HealthcareStrong #Ukraine #SelfCare"
2023-12-22 22:00:56,https://www.instagram.com/p/C1K9smfvEVo/,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/412278861_3190667757902879_5688664555190921122_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=7PdEU5W6-EgQ7kNvgFQoV-0&edm=APU89FABAAAA&ccb=7-5&oh=00_AYCl_DdMoBajxlFO7QYPYOR9oOKRrGHM2xZDmqsWwbYeLA&oe=6662A53B&_nc_sid=bc0c2c,Image,12,0,"In the face of adversity, MedGlobal provides crucial healthcare to Rohingya refugees in Bangladesh and the local community. Your support can heal and sustain lives as we approach 2024. Give today: https://medglobal.org/donate/

 #HealthcareForRohingya #MedGlobalImpact"
2023-12-22 19:06:36,https://www.instagram.com/p/C1KptPIr4hW/,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-15/412135613_359158530042428_5425853804451473981_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_ohc=mkyXDwTK6FwQ7kNvgFBeAiz&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDeIbu3qC8fU1Y_TYalmqcmv2wim4CQ1xtpDm8Me_21sw&oe=6662AB8F&_nc_sid=bc0c2c,Image,19,0,"The September 8, 2023 earthquake in Morocco resulted in 2,946 deaths, 5,674 injured and damages equivalent to approximately 8% of the nation's GDP. Over 2 million people were affected, with many displaced and sheltering outdoors. Access to these provinces was challenging due to their mountainous nature, with landslides and rocks blocking the roads, slowing rescue efforts.

MedGlobal partnered with Faseelah and distributed food baskets to 450 households (2250 individuals) and medical supplies to first responders and a local clinic in Tafingoult (a village near Touradent) and constructed 30 robust shelters for the winter in high mountain villages. In partnership with Al Hayat Association, MedGlobal is currently sponsoring 35 surgeries for victims of the quake.

In addition, MedGlobal recently brought in USD $1.4 million of medical supplies in partnership with Association Amal Salè and Direct Relief to support victims of the quake in their ongoing recovery. Supplies include syringes, needles, sutures, catheters, oral rehydration salts, prenatal tablets, stethoscopes, medications used to manage and treat hypertension and PTSD and other needed medicines."
